threshold,tar,far
0.53096038,0.97066667,0.91733333
0.53132975,0.97066667,0.91700000
0.53177488,0.97066667,0.91666667
0.53264207,0.97066667,0.91633333
0.53329849,0.97066667,0.91600000
0.53368711,0.97033333,0.91600000
0.53405333,0.97033333,0.91566667
0.53434277,0.97000000,0.91566667
0.53449422,0.96966667,0.91566667
0.53454036,0.96933333,0.91566667
0.53488946,0.96933333,0.91533333
0.53492057,0.96933333,0.91500000
0.53546679,0.96933333,0.91466667
0.53549731,0.96933333,0.91433333
0.53624374,0.96933333,0.91400000
0.53632826,0.96900000,0.91400000
0.53647685,0.96900000,0.91366667
0.53668410,0.96866667,0.91366667
0.53748357,0.96833333,0.91366667
0.53785914,0.96833333,0.91333333
0.53810668,0.96800000,0.91333333
0.53876710,0.96800000,0.91300000
0.53879440,0.96800000,0.91266667
0.53888297,0.96800000,0.91233333
0.53945374,0.96800000,0.91200000
0.53958189,0.96800000,0.91166667
0.53960878,0.96766667,0.91166667
0.53962672,0.96766667,0.91133333
0.54061294,0.96766667,0.91100000
0.54090989,0.96733333,0.91100000
0.54154700,0.96700000,0.91100000
0.54207832,0.96700000,0.91066667
0.54208636,0.96666667,0.91066667
0.54248369,0.96666667,0.91033333
0.54256052,0.96666667,0.91000000
0.54282498,0.96666667,0.90966667
0.54286075,0.96666667,0.90933333
0.54333597,0.96666667,0.90900000
0.54357290,0.96666667,0.90866667
0.54395097,0.96666667,0.90833333
0.54420918,0.96666667,0.90800000
0.54424071,0.96666667,0.90766667
0.54477799,0.96666667,0.90733333
0.54551387,0.96666667,0.90700000
0.54562831,0.96666667,0.90666667
0.54595608,0.96666667,0.90633333
0.54689336,0.96666667,0.90600000
0.54694945,0.96666667,0.90566667
0.54724371,0.96666667,0.90533333
0.54732734,0.96666667,0.90500000
0.54751635,0.96666667,0.90466667
0.54784262,0.96666667,0.90433333
0.54829341,0.96666667,0.90400000
0.54998076,0.96666667,0.90366667
0.55004722,0.96666667,0.90333333
0.55008078,0.96666667,0.90300000
0.55048913,0.96666667,0.90266667
0.55067611,0.96666667,0.90233333
0.55121028,0.96633333,0.90233333
0.55171335,0.96633333,0.90200000
0.55189669,0.96633333,0.90166667
0.55210757,0.96600000,0.90166667
0.55262566,0.96600000,0.90133333
0.55292583,0.96600000,0.90100000
0.55331933,0.96600000,0.90066667
0.55342734,0.96566667,0.90066667
0.55351055,0.96566667,0.90033333
0.55376005,0.96566667,0.90000000
0.55413663,0.96566667,0.89966667
0.55460036,0.96566667,0.89933333
0.55469126,0.96566667,0.89900000
0.55495882,0.96533333,0.89900000
0.55501795,0.96533333,0.89866667
0.55531681,0.96533333,0.89833333
0.55557406,0.96533333,0.89800000
0.55669463,0.96500000,0.89800000
0.55730230,0.96500000,0.89766667
0.55767429,0.96500000,0.89733333
0.55796301,0.96500000,0.89700000
0.55799448,0.96500000,0.89666667
0.56002223,0.96500000,0.89633333
0.56005907,0.96500000,0.89600000
0.56050873,0.96500000,0.89566667
0.56173569,0.96500000,0.89533333
0.56176841,0.96500000,0.89500000
0.56260633,0.96500000,0.89466667
0.56270981,0.96500000,0.89433333
0.56293690,0.96466667,0.89433333
0.56314600,0.96466667,0.89400000
0.56325775,0.96466667,0.89366667
0.56351006,0.96433333,0.89366667
0.56408149,0.96400000,0.89366667
0.56485856,0.96400000,0.89333333
0.56526017,0.96400000,0.89300000
0.56608295,0.96400000,0.89266667
0.56628746,0.96366667,0.89266667
0.56798196,0.96333333,0.89266667
0.56827521,0.96333333,0.89233333
0.56829178,0.96333333,0.89200000
0.56839085,0.96333333,0.89166667
0.56850088,0.96300000,0.89166667
0.56857061,0.96266667,0.89166667
0.56901240,0.96233333,0.89166667
0.56913102,0.96233333,0.89133333
0.56958479,0.96233333,0.89100000
0.56969362,0.96233333,0.89066667
0.57010841,0.96233333,0.89033333
0.57063061,0.96233333,0.89000000
0.57089067,0.96233333,0.88966667
0.57097971,0.96233333,0.88933333
0.57142907,0.96233333,0.88900000
0.57146484,0.96233333,0.88866667
0.57185322,0.96200000,0.88866667
0.57195187,0.96200000,0.88833333
0.57217419,0.96200000,0.88800000
0.57245624,0.96200000,0.88766667
0.57258290,0.96166667,0.88766667
0.57266653,0.96166667,0.88733333
0.57283247,0.96133333,0.88733333
0.57298619,0.96100000,0.88733333
0.57329547,0.96100000,0.88700000
0.57330978,0.96100000,0.88666667
0.57337224,0.96100000,0.88633333
0.57413965,0.96100000,0.88600000
0.57471645,0.96066667,0.88600000
0.57532722,0.96066667,0.88566667
0.57542920,0.96066667,0.88533333
0.57595217,0.96066667,0.88500000
0.57602978,0.96033333,0.88500000
0.57613492,0.96033333,0.88466667
0.57627326,0.96033333,0.88433333
0.57722640,0.96000000,0.88433333
0.57773405,0.96000000,0.88400000
0.57793796,0.96000000,0.88366667
0.57833409,0.96000000,0.88333333
0.57897651,0.96000000,0.88300000
0.57917690,0.96000000,0.88266667
0.57922542,0.96000000,0.88233333
0.57958037,0.96000000,0.88200000
0.57967997,0.96000000,0.88166667
0.58001339,0.95966667,0.88166667
0.58004236,0.95966667,0.88133333
0.58005345,0.95933333,0.88133333
0.58033097,0.95933333,0.88100000
0.58126342,0.95933333,0.88066667
0.58130991,0.95933333,0.88033333
0.58142042,0.95933333,0.88000000
0.58143973,0.95900000,0.88000000
0.58168238,0.95900000,0.87966667
0.58180189,0.95900000,0.87933333
0.58180737,0.95900000,0.87900000
0.58199126,0.95900000,0.87866667
0.58237314,0.95866667,0.87866667
0.58243763,0.95866667,0.87833333
0.58251214,0.95866667,0.87800000
0.58332396,0.95866667,0.87766667
0.58335632,0.95866667,0.87733333
0.58410442,0.95866667,0.87700000
0.58473206,0.95866667,0.87666667
0.58473909,0.95833333,0.87666667
0.58517420,0.95833333,0.87633333
0.58557105,0.95833333,0.87600000
0.58632052,0.95833333,0.87566667
0.58707738,0.95800000,0.87566667
0.58740395,0.95800000,0.87533333
0.58771211,0.95800000,0.87500000
0.58835626,0.95766667,0.87500000
0.58968210,0.95733333,0.87500000
0.59013420,0.95733333,0.87466667
0.59015828,0.95733333,0.87433333
0.59016430,0.95733333,0.87400000
0.59055978,0.95733333,0.87366667
0.59095854,0.95733333,0.87333333
0.59106445,0.95733333,0.87300000
0.59206653,0.95700000,0.87300000
0.59236985,0.95700000,0.87266667
0.59239089,0.95700000,0.87233333
0.59274668,0.95700000,0.87200000
0.59312880,0.95700000,0.87166667
0.59407514,0.95700000,0.87133333
0.59498239,0.95700000,0.87100000
0.59518206,0.95700000,0.87066667
0.59545797,0.95700000,0.87033333
0.59557390,0.95700000,0.87000000
0.59609121,0.95666667,0.87000000
0.59638840,0.95633333,0.87000000
0.59655666,0.95600000,0.87000000
0.59700251,0.95566667,0.87000000
0.59721875,0.95566667,0.86966667
0.59781462,0.95566667,0.86933333
0.59827578,0.95566667,0.86900000
0.59857666,0.95566667,0.86866667
0.59860659,0.95533333,0.86866667
0.59875703,0.95533333,0.86833333
0.59892762,0.95533333,0.86800000
0.59962118,0.95533333,0.86766667
0.59980452,0.95533333,0.86733333
0.60190266,0.95533333,0.86700000
0.60205436,0.95533333,0.86666667
0.60206664,0.95533333,0.86633333
0.60230637,0.95533333,0.86600000
0.60231435,0.95533333,0.86566667
0.60275227,0.95533333,0.86533333
0.60279405,0.95533333,0.86500000
0.60286653,0.95533333,0.86466667
0.60288930,0.95500000,0.86466667
0.60310626,0.95466667,0.86466667
0.60347325,0.95466667,0.86433333
0.60354322,0.95466667,0.86400000
0.60357761,0.95433333,0.86400000
0.60364580,0.95433333,0.86366667
0.60366243,0.95433333,0.86333333
0.60396576,0.95400000,0.86333333
0.60428751,0.95400000,0.86300000
0.60448444,0.95400000,0.86266667
0.60576773,0.95400000,0.86233333
0.60610831,0.95400000,0.86200000
0.60666978,0.95400000,0.86166667
0.60683143,0.95400000,0.86133333
